cat,pos,desc
1,NT,Temporal noun
1,NN,Temporal noun
2,NR,verbal/proper noun
2,NN,verbal/proper noun
3,PN,pronoun
4,VV,Modal verb
5,VV,Other verb
5,VA,Other verb
5,VC,Other verb
5,VE,Other verb
6,AD,Adverb
7,P,Preposition
8,DT,Determiner
9,CD,Number
9,OD,Number
10,CC,Coord. Conj
11,CS,Subord. Conj
12,IJ,Interjection
13,JJ,Noun-modifier
14,FW,Foreign Words
